seconds,points,two_p,two_pm,value
9300,42,16,7,40
7232,51,23,12,51
5318,31,23,13,26
6713,31,20,8,33
5157,15,6,2,37
6609,65,11,7,73
4354,25,18,5,14
4958,40,28,13,22
5408,35,16,10,32
7229,62,28,15,63
3174,36,22,10,30
6626,51,18,8,30
8917,68,23,14,55
6852,27,21,9,19
9204,77,29,11,91
9517,47,30,14,50
8901,59,43,16,53
230,0,0,0,-1
4134,29,20,13,44
7442,50,44,22,57
7883,51,32,18,47
10832,46,14,5,39
3462,11,12,4,11
3,0,0,0,0
8359,48,17,5,50
9960,30,14,5,68
8110,64,52,27,49
7020,28,6,3,22
5740,19,10,6,29
9984,61,23,12,63
10906,86,43,23,96
4937,30,34,14,21
234,0,0,0,-2
9170,59,25,11,31
9577,91,34,20,113
403,2,2,1,-3
3457,11,9,4,-1
8889,73,19,11,42
11545,50,33,12,84
9792,80,53,34,102
2137,12,6,3,18
11664,75,31,9,67
9037,52,24,17,73
2922,14,8,3,5
6627,42,25,16,60
6839,54,16,9,50
8706,55,23,12,27
3482,22,3,2,14
10672,92,28,15,71
11467,51,18,8,76
2001,11,5,2,20
8207,55,45,21,50
6979,74,32,15,66
8960,61,33,16,62
7487,16,12,6,25
360,0,0,0,-1
7248,68,46,28,79
12153,67,16,10,89
2183,8,4,1,0
6283,47,9,7,42
10384,71,45,19,91
3645,15,8,7,17
10167,51,26,15,64
8450,69,16,10,74
5973,30,13,2,16
280,0,0,0,-1
4492,38,23,14,46
7084,36,22,11,26
10062,58,13,8,76
4740,50,28,18,70
5764,30,19,10,20
8168,73,56,30,93
520,0,0,0,-4
4271,29,14,8,41
7161,44,12,4,58
10888,75,37,24,91
5647,48,23,11,38
10230,72,51,25,74
10832,57,32,17,69
6567,42,33,19,48
2579,10,7,1,4
8554,47,34,19,69
10541,61,26,10,46
4431,17,13,7,24
6570,44,33,15,34
1947,10,7,2,8
2142,12,11,5,13
8523,52,18,11,46
9029,36,10,3,1
8973,59,22,11,60
6609,49,29,6,44
1077,0,0,0,-6
669,3,1,0,0
10289,34,22,10,42
9946,84,52,29,75
7245,40,29,14,38
8384,81,28,16,103
3206,19,12,7,21
4610,26,17,8,14
2610,8,4,1,11
9005,50,15,7,59
10443,77,43,24,80
7793,19,13,4,26
10155,83,42,24,114
3480,24,13,6,18
1446,13,2,2,7
6086,36,27,16,28
11804,57,28,14,66
4104,21,8,5,25
12744,109,62,40,143
6940,50,19,9,39
8892,54,29,21,68
7155,37,17,8,41
879,2,4,1,-1
5237,17,8,4,26
1597,1,3,0,-3
7101,42,30,12,34
9447,74,24,14,94
12180,64,38,18,78
4674,24,20,8,14
10998,97,21,16,88
2009,20,18,10,9
6809,57,29,17,53
3369,39,18,12,33
3653,30,12,6,28
8794,33,7,4,36
5114,12,7,2,19
14458,107,80,36,98
3957,15,9,6,15
11609,72,31,17,72
5052,26,18,8,32
570,0,0,0,-2
10052,93,57,38,112
12684,96,36,16,51
2793,0,0,0,-8
7847,30,12,4,24
1031,10,2,2,8
39,0,0,0,0
10314,59,11,7,69
3962,19,18,9,21
8736,55,39,24,108
10134,74,25,13,47
7504,48,43,22,29
11122,82,45,25,104
9082,55,14,4,37
5816,25,12,2,12
5605,46,16,6,25
11730,76,45,21,104
236,0,0,0,0
9099,78,35,17,87
2736,27,11,7,17
13704,89,57,22,84
11335,44,18,5,44
155,0,0,0,0
93,2,0,0,2
10467,69,49,29,91
8334,66,31,18,54
10479,54,18,11,54
3756,10,9,5,13
2875,7,8,3,0
7729,36,16,8,41
3238,18,14,6,11
401,2,2,1,4
10551,62,42,15,47
9605,65,34,19,56
10289,60,21,9,82
9022,86,49,29,83
9058,65,5,3,37
10903,43,16,8,36
10209,78,56,31,112
6025,26,17,8,27
3717,17,15,8,18
4220,31,5,3,38
6677,26,14,6,31
7620,52,12,6,42
10463,91,33,18,91
9585,63,35,22,69
830,1,2,0,7
1833,7,2,1,12
10764,58,44,19,72
7479,60,40,26,98
8881,70,33,19,71
3600,26,8,5,21
7699,51,14,6,62
7324,52,28,20,67
420,1,3,0,-2
541,0,0,0,0
284,0,0,0,1
8523,53,18,6,49
4584,45,15,8,35
5106,20,15,6,14
7548,56,22,15,71
8337,75,44,23,92
8396,66,36,18,76
6947,47,35,18,66
74,0,0,0,1
7461,52,20,9,35
9382,68,22,13,83
8202,63,39,20,101
4756,42,28,18,43
4684,32,10,6,36
11972,76,40,17,29
5484,15,9,5,9
12824,47,22,8,71
10860,81,56,31,89
3086,5,5,1,8
12992,77,66,28,66
3303,9,7,4,-4
3156,23,12,4,12
7683,37,14,8,39
5340,33,27,12,18
6654,47,19,10,71
646,0,1,0,2
3038,16,11,7,12
11328,70,40,20,91
8092,31,28,12,36
8559,83,34,18,99
8390,67,35,13,51
3535,21,6,2,31
4371,16,6,3,13
9950,66,10,4,41
5845,28,9,3,16
4009,22,20,7,16
9386,52,39,13,46
7497,38,17,10,44
8143,66,19,11,90
10569,52,21,8,53
9264,54,28,12,53
6481,43,29,18,39
7914,31,21,8,30
6253,19,9,4,36
7449,67,14,7,70
4354,25,18,5,14
5603,50,32,17,32
6262,35,18,10,31
7942,62,30,15,61
3766,38,24,11,26
6626,51,18,8,30
10451,86,31,19,67
7825,32,24,10,19
11129,91,34,14,111
10941,54,38,16,53
9894,60,44,16,57
230,0,0,0,-1
5149,39,25,18,59
8730,58,52,26,61
9085,58,36,19,51
12478,48,16,6,41
3462,11,12,4,11
3,0,0,0,0
9501,51,17,5,55
11363,34,17,5,77
9264,75,57,31,57
7731,34,6,3,29
7281,26,12,8,41
10764,64,23,12,63
12420,95,47,26,99
5757,37,37,17,30
234,0,0,0,-2
10803,73,26,12,45
10879,109,42,25,138
403,2,2,1,-3
3708,11,10,4,-2
10897,86,26,15,50
13129,56,38,13,101
11895,97,62,40,130
2137,12,6,3,18
11664,75,31,9,67
9037,52,24,17,73
4284,18,12,5,5
8013,53,33,21,75
7799,59,18,10,53
9950,63,27,13,31
4584,28,3,2,17
11788,98,30,15,70
13057,64,21,11,98
2155,11,5,2,19
9374,63,53,24,56
8266,86,35,17,76
10716,83,44,23,88
8738,20,16,8,33
360,0,0,0,-1
8297,70,48,29,78
13802,77,18,12,106
2520,8,4,1,0
6927,53,9,7,45
11735,77,51,22,97
4557,18,10,7,15
11464,58,29,17,75
9217,74,17,11,82
7058,38,18,3,19
280,0,0,0,-1
5198,42,24,15,45
8486,44,27,15,37
10610,58,13,8,77
4740,50,28,18,70
6813,37,23,13,29
9862,96,70,40,121
520,0,0,0,-4
5460,37,15,9,54
8241,59,20,10,71
12435,82,41,26,93
7127,59,31,15,44
11550,77,59,26,81
12250,62,36,18,75
7791,42,36,19,48
3086,10,7,1,3
10212,51,38,20,81
12307,74,34,12,53
4431,17,13,7,24
6570,44,33,15,34
1947,10,7,2,8
2142,12,11,5,13
9750,57,19,11,48
10822,41,10,3,0
11114,84,24,12,84
6834,49,30,6,42
1077,0,0,0,-6
669,3,1,0,0
11122,44,25,12,55
10763,86,56,30,75
7860,40,29,14,35
9951,88,32,17,108
4991,25,18,10,35
6350,42,27,14,22
3094,12,7,3,9
10183,54,18,8,70
11681,92,47,25,91
9015,22,14,4,34
11354,95,52,30,121
4016,30,15,8,25
2608,21,7,6,14
7285,47,34,21,39
13315,65,32,18,81
4995,26,10,5,28
14608,120,69,44,160
6940,50,19,9,39
10174,65,36,26,79
8946,43,20,9,45
879,2,4,1,-1
5777,17,9,4,29
1790,1,3,0,-5
7981,48,31,12,42
10268,77,25,14,95
14042,80,44,23,95
4674,24,20,8,14
12577,116,23,17,110
2009,20,18,10,9
8341,68,39,20,61
3369,39,18,12,33
4262,32,17,7,24
911,8,5,3,14
9836,33,9,4,33
5114,12,7,2,19
15974,112,88,38,101
4570,15,9,6,15
13503,87,46,23,86
6662,37,29,12,49
1070,0,1,0,-2
10735,98,60,40,113
14132,105,41,19,55
2793,0,0,0,-8
9369,45,16,6,46
1031,10,2,2,8
39,0,0,0,0
1172,4,4,2,-3
11487,59,11,7,67
3962,19,18,9,21
9611,57,41,25,105
11440,78,28,15,47
8910,63,57,29,44
12709,93,51,29,116
10584,64,18,7,39
6535,25,14,2,8
6418,46,17,6,24
13122,86,54,24,115
236,0,0,0,0
10748,86,43,20,92
2736,27,11,7,17
15545,105,63,28,109
12918,55,22,6,46
155,0,0,0,0
93,2,0,0,2
11534,80,55,34,103
8334,66,31,18,54
11959,60,20,12,61
4548,14,12,7,17
3616,14,15,5,6
9455,42,22,11,40
4359,21,19,7,12
425,2,2,1,4
11933,62,45,15,45
11024,75,40,23,68
11689,72,25,11,91
10534,97,58,33,95
10043,65,5,3,34
11859,47,18,10,40
11956,89,64,36,137
7106,30,21,10,36
3876,17,15,8,18
5555,47,7,5,58
7559,26,14,6,32
8609,56,12,6,47
11228,97,34,18,92
11102,80,43,29,89
830,1,2,0,7
2845,9,3,2,17
12289,62,47,20,80
9052,66,46,29,107
10452,88,41,24,88
4209,30,8,5,23
8954,61,16,7,73
7626,56,30,22,70
420,1,3,0,-2
541,0,0,0,0
284,0,0,0,1
9808,56,19,6,46
5151,48,16,8,37
6032,21,15,6,19
7986,60,24,17,72
9732,93,52,28,115
9870,78,41,21,94
8200,62,43,25,80
74,0,0,0,1
9054,66,23,10,53
10869,71,24,13,90
8965,63,40,20,97
5575,50,35,22,49
4684,32,10,6,36
13667,88,42,18,46
5493,15,9,5,9
14208,50,23,8,80
12422,87,60,34,96
3874,5,5,1,7
14765,93,76,35,78
3332,9,7,4,-4
3775,31,14,6,20
9277,55,22,13,56
6356,40,31,14,28
8185,59,23,13,88
646,0,1,0,2
3281,16,12,7,11
12779,80,45,23,96
8573,33,32,13,32
10047,97,42,22,115
9443,71,38,15,49
3677,21,6,2,29
4721,16,6,3,13
11900,84,12,5,55
7005,32,10,3,26
5205,27,23,9,25
10778,54,44,14,47
8591,43,18,11,46
9657,73,23,13,98
10569,52,21,8,53
10030,54,29,12,55
7710,48,32,20,51
9545,37,26,11,35
7665,26,13,7,45
8808,78,14,7,79
4354,25,18,5,14
5839,52,34,18,32
6806,35,19,10,30
8830,67,32,15,69
5069,49,31,14,36
1118,10,3,3,2
6626,51,18,8,30
11700,97,36,21,70
8911,40,28,12,25
12722,109,39,17,128
11817,54,41,16,53
11121,71,50,19,71
230,0,0,0,-1
5683,39,25,18,62
9780,67,58,30,72
10141,65,40,21,58
14166,52,18,8,46
3933,14,13,4,11
1170,6,3,1,2
3,0,0,0,0
10932,59,20,6,59
12332,34,17,5,78
10299,86,65,36,64
8282,34,6,3,25
8880,31,16,9,54
11576,68,26,13,62
13797,107,51,27,104
7055,39,38,18,36
234,0,0,0,-2
12641,88,31,16,59
11969,123,45,28,157
765,2,1,1,3
403,2,2,1,-3
4477,11,12,4,-3
10897,86,26,15,50
15062,66,44,17,113
13353,107,67,43,147
2757,14,7,3,19
11664,75,31,9,67
10057,52,24,17,74
5988,28,16,9,22
9198,64,41,26,87
9212,72,24,14,69
11253,68,30,14,25
5179,31,3,2,15
13013,110,33,17,80
14611,73,22,12,112
2155,11,5,2,19
10655,67,54,25,59
9441,99,38,19,95
12134,99,49,26,99
9815,25,16,8,36
360,0,0,0,-1
9416,80,49,30,93
15112,77,21,12,104
3404,15,5,1,4
7884,61,10,8,50
12833,88,58,26,111
5169,21,12,7,15
12833,62,32,19,85
10873,98,18,11,109
7058,38,18,3,19
280,0,0,0,-1
6564,52,31,19,58
8486,44,27,15,37
11673,64,14,9,88
5254,52,29,18,75
7926,42,25,14,27
10571,107,74,43,136
699,2,2,1,-4
6322,39,17,10,61
1459,10,5,2,9
9399,68,23,12,76
14317,88,46,29,101
8626,70,38,18,52
12792,85,63,26,90
14169,77,44,23,91
8864,46,40,20,51
3806,12,9,2,4
11657,53,41,21,92
13369,88,39,16,65
4431,17,13,7,24
6570,44,33,15,34
1947,10,7,2,8
2142,12,11,5,13
10548,57,20,11,49
12702,52,12,5,9
11114,84,24,12,84
7986,58,34,9,50
1077,0,0,0,-6
669,3,1,0,0
11122,44,25,12,55
12531,102,65,37,99
8960,42,31,15,35
11623,101,39,20,122
6254,27,22,11,37
7736,61,36,18,37
4108,17,11,5,13
11537,64,20,9,89
13426,97,51,27,90
10061,31,16,5,48
13125,109,61,35,132
4789,35,22,10,25
3263,28,9,8,19
7914,49,36,22,40
14878,73,36,19,92
5856,31,11,6,30
16211,129,76,46,172
6940,50,19,9,39
11202,67,39,26,76
10497,65,26,15,72
879,2,4,1,-1
6555,24,13,6,35
1956,1,3,0,-6
9412,52,34,14,46
11951,103,35,21,121
15664,91,47,24,99
4674,24,20,8,14
13655,119,25,17,114
2009,20,18,10,9
8979,69,39,20,61
3369,39,18,12,33
5111,38,19,7,32
2087,10,7,4,20
10889,36,11,4,38
5114,12,7,2,19
17811,125,95,41,112
5500,18,12,6,17
14846,93,46,23,93
8206,46,34,15,62
1374,0,3,0,-2
11591,105,66,42,118
15364,120,41,19,65
2793,0,0,0,-8
10923,50,19,7,50
1031,10,2,2,8
39,0,0,0,0
2519,6,4,2,-6
13055,67,13,8,73
3962,19,18,9,21
11116,61,44,27,116
13167,90,32,15,62
9335,65,59,30,44
14517,107,58,35,131
11676,66,19,8,39
6963,33,15,3,14
7177,51,19,7,25
15012,95,59,28,130
236,0,0,0,0
12472,97,52,23,98
2736,27,11,7,17
17346,121,69,33,130
14646,67,24,6,54
155,0,0,0,0
93,2,0,0,2
12793,84,59,36,103
8334,66,31,18,54
13741,60,21,12,65
5181,16,15,8,25
4136,19,18,7,8
10803,51,29,14,42
5564,25,23,9,15
913,7,4,2,8
13441,74,47,16,63
12762,86,53,27,76
12637,72,28,11,81
11639,101,64,35,98
11368,71,8,3,32
13236,56,18,10,46
13352,100,74,41,151
8430,35,24,12,45
4667,24,22,11,23
5555,47,7,5,58
9091,34,17,8,44
8609,56,12,6,47
12872,111,40,21,105
12418,85,50,31,90
1330,3,8,1,7
4167,11,3,2,31
13157,66,50,21,84
10138,77,54,34,122
11546,96,46,27,96
5059,34,12,7,21
9928,69,18,8,82
8440,62,34,25,80
420,1,3,0,-2
541,0,0,0,0
284,0,0,0,1
11087,65,24,9,51
6192,57,16,8,50
6032,21,15,6,19
9194,66,28,20,75
11091,106,57,29,133
11269,89,47,22,115
9155,71,49,29,86
74,0,0,0,1
10180,75,27,11,57
12069,77,27,14,101
8965,63,40,20,97
6739,56,40,25,56
5678,43,15,9,53
275,0,0,0,2
15703,104,45,19,58
5493,15,9,5,9
15973,58,27,10,95
14199,101,67,38,117
4089,5,6,1,6
16153,102,80,37,81
3924,10,7,4,-6
4603,44,21,11,38
10477,55,24,13,51
6991,46,32,14,31
9749,62,24,13,88
646,0,1,0,2
3802,22,15,10,18
14232,86,53,26,100
9542,39,36,16,39
11554,111,48,25,133
10104,77,39,15,58
3677,21,6,2,29
5674,20,9,5,21
13639,99,12,5,67
8055,44,13,4,44
5454,27,24,9,23
12326,61,47,17,51
9941,55,21,13,64
9657,73,23,13,98
10569,52,21,8,53
10030,54,29,12,55
7710,48,32,20,51
11639,47,30,13,50
9687,36,16,9,61
10581,96,20,8,92
4354,25,18,5,14
6849,58,37,20,36
7658,35,21,10,33
10704,78,41,16,79
6339,57,40,18,38
2223,12,7,3,6
6626,51,18,8,30
12636,102,38,21,73
9836,40,29,12,22
14253,112,39,17,130
12799,61,46,18,59
12592,84,57,24,87
230,0,0,0,-1
6123,39,27,18,58
11676,96,74,41,115
11078,72,42,23,65
15630,60,22,9,61
3933,14,13,4,11
2588,19,9,4,10
3,0,0,0,0
11779,69,27,10,67
13885,42,19,6,94
11511,101,75,42,83
9271,37,6,3,30
9843,35,18,10,59
13023,74,30,15,67
15284,120,57,32,118
7854,44,42,19,44
234,0,0,0,-2
14052,100,33,18,68
13261,129,52,31,167
2184,18,9,6,15
403,2,2,1,-3
4649,13,13,5,-1
10897,86,26,15,50
17105,82,54,24,124
14876,119,74,47,167
3155,14,8,3,18
11664,75,31,9,67
10717,52,24,17,77
7530,34,20,12,33
10574,70,45,29,92
10963,78,29,17,73
12945,79,36,16,36
6022,39,3,2,17
14125,119,36,17,91
16194,80,28,15,122
2205,11,5,2,15
11945,81,62,32,81
10792,110,44,23,112
13398,105,54,29,103
10394,25,17,8,36
960,5,3,1,4
10453,90,55,34,101
16779,86,26,16,117
3785,19,7,3,8
8970,67,12,9,52
14177,95,65,28,113
6734,27,15,10,19
14681,79,37,24,109
12492,105,23,12,111
7058,38,18,3,19
280,0,0,0,-1
7023,56,33,21,63
8486,44,27,15,37
12195,64,15,9,87
6206,59,35,21,83
8738,45,26,14,31
11804,123,85,50,158
699,2,2,1,-4
7249,41,20,11,66
2178,15,8,4,11
10864,87,26,13,93
16261,100,54,33,113
9756,74,44,20,52
13797,88,66,27,94
15774,85,49,27,103
8864,46,40,20,51
4720,20,11,3,14
13255,61,46,25,109
15093,101,47,21,70
4431,17,13,7,24
6570,44,33,15,34
615,4,2,2,0
1947,10,7,2,8
2142,12,11,5,13
11534,63,24,14,53
13764,56,12,5,11
12475,84,29,12,82
9408,70,35,10,64
1077,0,0,0,-6
669,3,1,0,0
11122,44,25,12,55
13542,104,69,38,96
9572,42,33,15,32
13453,106,43,20,129
7192,31,27,12,41
9846,80,46,24,47
4343,17,11,5,12
13167,70,24,9,99
14416,108,57,30,97
10831,34,16,5,51
15354,126,72,39,156
5198,35,22,10,20
3818,28,9,8,18
7914,49,36,22,40
16568,83,44,22,106
7509,38,12,7,38
18196,141,84,52,183
89,0,0,0,-1
6940,50,19,9,39
12105,72,43,27,74
12363,72,30,18,86
879,2,4,1,-1
7181,27,14,7,35
2449,4,3,0,-2
10237,52,35,14,46
13193,108,37,22,125
17628,99,52,25,108
4674,24,20,8,14
14978,135,29,20,126
2009,20,18,10,9
10561,82,46,25,78
3369,39,18,12,33
5290,38,21,7,28
3084,20,12,8,30
12884,44,11,4,49
5114,12,7,2,19
20126,155,111,50,147
6725,32,12,6,36
16155,105,50,26,102
9228,48,35,16,72
1392,0,4,0,-3
12835,111,71,44,122
17145,135,47,21,81
2793,0,0,0,-8
11609,51,20,7,48
1031,10,2,2,8
39,0,0,0,0
2924,6,4,2,-8
14640,73,16,10,79
3962,19,18,9,21
12336,69,52,30,130
14288,92,36,16,57
10710,81,70,37,61
16456,118,65,39,142
12658,72,19,8,45
7654,36,16,3,12
7860,52,20,7,25
16430,101,64,30,136
236,0,0,0,0
13265,104,55,24,104
2736,27,11,7,17
19322,140,75,37,155
16694,82,25,6,69
155,0,0,0,0
93,2,0,0,2
13555,95,64,39,116
8334,66,31,18,54
15453,74,23,14,75
5845,18,15,8,32
4601,21,22,8,4
12802,58,33,14,49
7145,37,28,12,31
913,7,4,2,8
15236,91,52,19,79
14306,100,60,30,91
13792,77,28,11,89
12673,107,71,38,102
12411,77,8,3,36
14189,62,18,10,45
14958,112,79,46,170
9879,44,29,15,51
4734,24,22,11,23
6909,58,9,7,69
9711,40,17,8,48
9204,64,13,6,57
14684,132,44,23,125
13791,97,55,36,106
1365,3,8,1,7
5583,14,4,2,38
14631,76,54,24,99
11735,92,63,41,144
12397,101,47,28,103
5829,38,14,9,20
11063,81,21,11,93
8762,62,34,25,79
420,1,3,0,-2
541,0,0,0,0
284,0,0,0,1
12238,67,25,10,53
6665,57,18,8,47
6032,21,15,6,19
10247,80,30,21,88
12607,127,68,34,160
12436,90,52,22,117
10183,84,56,35,99
74,0,0,0,1
11093,78,28,11,54
13769,88,35,19,113
10236,77,46,25,109
7020,56,40,25,55
7125,48,15,9,53
275,0,0,0,2
17379,123,48,20,79
5929,15,10,5,8
17744,73,30,12,122
15547,108,71,40,122
4268,5,7,1,6
17818,110,86,41,91
4646,12,8,5,-2
5489,49,24,12,39
11252,58,25,13,54
7620,51,35,15,28
11589,78,27,16,106
719,0,1,0,0
4681,24,18,11,17
14232,86,53,26,100
10750,43,39,18,46
12371,111,50,25,130
11361,94,41,17,74
4145,21,7,2,29
5981,22,10,6,19
15899,123,16,7,86
9595,53,14,4,59
5538,27,24,9,24
14138,75,56,22,65
11309,57,22,14,71
10856,73,23,13,103
10569,52,21,8,53
11805,73,36,17,71
7710,48,32,20,51
13215,58,33,16,62
11142,42,18,11,73
11782,101,23,9,101
4354,25,18,5,14
8110,74,52,28,51
7658,35,21,10,33
12153,91,47,21,97
7478,68,45,20,51
3168,16,10,5,15
6626,51,18,8,30
13744,111,41,24,75
9889,40,29,12,22
15914,117,42,17,135
13652,61,48,18,52
13954,98,62,28,104
230,0,0,0,-1
6436,39,27,18,58
13583,117,87,50,142
12296,78,45,25,72
17661,75,25,11,80
3933,14,13,4,11
4082,25,13,7,17
3,0,0,0,0
12612,74,29,11,74
15447,48,21,6,101
12545,111,84,47,91
10592,40,8,3,35
11031,43,23,13,70
14235,83,37,18,70
16553,120,63,32,113
8994,48,45,20,49
441,2,0,0,2
15136,105,38,20,70
14411,144,59,35,185
3690,32,17,10,25
558,2,2,1,-3
5899,23,17,9,12
11538,102,27,16,67
19186,86,59,24,127
16683,129,78,50,181
3155,14,8,3,18
12913,86,35,11,77
12083,69,29,21,97
7530,34,20,12,33
11792,78,50,32,105
10963,78,29,17,73
14582,89,38,17,37
6618,42,3,2,15
15902,134,43,19,105
18249,88,33,16,124
2626,13,9,3,16
12599,81,65,32,78
11909,116,48,25,121
15462,120,66,35,124
11414,33,19,9,45
1306,5,3,1,1
11958,98,62,38,111
18570,88,29,17,119
3785,19,7,3,8
9720,69,12,9,53
14728,107,70,32,122
8461,41,20,14,39
16295,93,43,28,130
12492,105,23,12,111
7058,38,18,3,19
280,0,0,0,-1
8358,71,40,26,92
8486,44,27,15,37
12195,64,15,9,87
7486,67,42,24,85
9321,48,28,14,33
12853,127,90,52,166
1055,2,2,1,-5
8788,53,25,14,78
4050,23,12,8,24
47,0,0,0,0
47,0,0,0,-2
11997,95,30,16,100
17999,110,58,35,120
11225,83,48,24,62
15064,96,71,29,94
17250,98,55,31,117
9951,48,45,21,56
4980,20,12,3,14
14568,74,52,29,128
16426,109,50,22,76
5355,25,17,10,37
6570,44,33,15,34
615,4,2,2,0
1947,10,7,2,8
2142,12,11,5,13
12542,72,25,14,56
15633,76,15,6,29
14091,97,33,15,98
9626,70,37,10,63
1077,0,0,0,-6
669,3,1,0,0
11122,44,25,12,55
14795,104,71,38,98
10368,48,34,16,40
15292,119,49,23,146
7851,33,28,13,39
11536,90,49,26,58
4897,17,12,5,11
14628,76,27,10,102
16395,126,63,34,125
11770,39,20,6,58
17172,136,81,43,161
5359,35,22,10,19
4239,28,9,8,15
8561,51,37,23,43
18242,88,45,23,113
8412,45,14,8,43
20193,152,93,56,196
89,0,0,0,-1
6940,50,19,9,39
12709,75,47,28,73
14113,87,37,23,113
879,2,4,1,-1
7181,27,14,7,35
2600,4,6,0,-4
11116,56,39,16,50
14598,116,40,22,129
19193,112,61,27,123
4674,24,20,8,14
16321,141,29,20,127
2009,20,18,10,9
11433,90,51,28,86
3369,39,18,12,33
5870,44,24,10,30
4658,26,16,10,39
1277,8,6,3,9
14347,47,11,4,59
5114,12,7,2,19
22116,178,126,58,159
7928,37,14,7,43
17434,114,54,29,112
9977,48,35,16,72
1392,0,4,0,-3
14404,120,79,46,133
18257,144,51,22,83
2793,0,0,0,-8
11850,51,20,7,50
1031,10,2,2,8
39,0,0,0,0
3861,6,4,2,-10
1457,13,8,2,6
16072,76,16,10,82
3962,19,18,9,21
13574,79,56,34,148
16164,94,39,17,58
11656,85,72,39,61
18514,138,74,46,169
14037,83,21,9,50
7654,36,16,3,12
8544,54,23,7,24
17809,108,68,31,147
236,0,0,0,0
14346,109,60,25,110
3117,27,11,7,17
21075,152,81,40,166
18702,95,30,8,77
155,0,0,0,0
93,2,0,0,2
14455,99,69,41,120
8334,66,31,18,54
17468,90,24,15,96
6057,18,15,8,33
4867,21,22,8,3
14686,65,38,16,58
8645,39,33,13,35
1220,8,4,2,8
17228,109,65,25,94
14404,100,60,30,91
15787,92,34,15,104
14006,117,77,41,114
12873,79,9,4,33
15848,72,20,12,58
16250,118,84,49,183
10620,46,29,15,54
4912,24,24,11,20
8852,68,13,9,76
10839,44,19,10,61
10381,88,19,11,82
15633,138,46,23,127
15360,106,63,39,114
1365,3,8,1,7
6972,18,7,2,47
15903,80,58,25,105
12800,100,68,45,157
13505,110,53,31,117
6234,40,16,10,18
11783,89,24,13,96
9980,66,38,27,85
420,1,3,0,-2
541,0,0,0,0
284,0,0,0,1
13190,69,25,10,50
8202,75,26,14,64
6913,23,16,7,19
10720,80,30,21,87
13680,140,73,37,172
12436,90,52,22,117
11048,90,61,37,104
74,0,0,0,1
12084,85,30,12,60
15830,104,41,23,127
11425,81,49,27,117
7154,56,40,25,52
8969,59,19,11,66
275,0,0,0,2
19592,142,54,22,91
6553,15,11,5,9
20233,75,36,13,128
16752,113,74,41,128
4375,5,7,1,6
19702,123,96,46,111
5226,12,12,5,-9
7115,62,29,14,49
11252,58,25,13,54
8029,51,36,15,26
13952,89,31,18,120
719,0,1,0,0
5161,26,19,12,21
15207,96,62,31,109
11878,45,41,19,49
14057,120,56,28,144
12308,101,45,19,75
4145,21,7,2,29
6978,27,14,7,24
17789,136,18,9,101
10921,60,17,6,70
5538,27,24,9,24
15635,77,58,23,67
12383,60,26,14,69
12800,84,26,15,115
10569,52,21,8,53
13505,78,37,17,75
7710,48,32,20,51
14963,63,34,16,68
12257,45,18,11,81
12238,101,25,9,96
4354,25,18,5,14
8868,86,57,32,61
8342,44,25,12,43
13044,94,47,21,100
8897,77,50,22,59
4453,36,14,8,34
6626,51,18,8,30
15169,121,44,25,91
10764,40,31,12,19
17439,124,46,18,138
14913,68,54,20,57
15281,102,67,30,109
346,2,1,1,2
6727,39,27,18,59
15084,123,98,53,145
13003,84,47,26,75
19494,86,27,12,93
3933,14,13,4,11
5221,29,16,8,18
3,0,0,0,0
14121,83,30,12,87
17588,61,23,8,120
12545,111,84,47,91
11378,42,12,4,32
11974,43,26,13,69
16056,96,42,22,83
18417,138,69,37,136
10280,60,52,25,65
774,4,1,1,4
15136,105,38,20,70
15728,157,62,37,202
5259,41,24,13,31
558,2,2,1,-3
6894,25,20,10,10
11538,102,27,16,67
20857,101,64,29,150
18346,140,89,55,196
3155,14,8,3,18
14896,102,43,14,86
13763,76,32,23,103
8180,39,23,14,39
12557,78,50,32,105
12153,92,36,21,83
15503,95,43,20,40
7100,45,3,2,17
17135,142,46,19,104
20252,102,38,19,143
2789,15,9,3,19
13878,89,73,36,89
13100,123,53,26,128
16887,128,74,38,127
12463,37,23,10,49
1816,5,3,1,3
12916,106,69,42,126
19786,104,35,21,130
3785,19,7,3,8
10693,79,13,10,63
16233,132,77,38,151
10037,49,21,15,46
17915,102,48,31,137
12492,105,23,12,111
7980,43,21,4,26
280,0,0,0,-1
9020,83,44,29,109
8486,44,27,15,37
12195,64,15,9,87
8078,73,43,25,85
9959,48,29,14,31
14256,135,98,56,178
1055,2,2,1,-5
9814,60,28,16,83
6106,39,20,14,39
47,0,0,0,0
47,0,0,0,-2
13396,103,32,17,108
19465,129,66,41,141
12156,92,54,27,70
16065,98,73,30,105
18785,104,59,33,124
10871,53,48,23,60
5254,20,12,3,12
15998,89,60,35,154
18196,126,55,27,91
5912,32,19,11,44
6570,44,33,15,34
615,4,2,2,0
717,4,2,2,5
1947,10,7,2,8
2142,12,11,5,13
13543,82,28,16,71
16811,76,16,6,27
15322,97,34,15,95
10645,77,42,12,69
1077,0,0,0,-6
669,3,1,0,0
11122,44,25,12,55
16167,114,78,43,109
11489,52,39,18,40
16701,132,53,26,161
8552,35,32,14,40
13172,109,57,29,78
5661,17,12,5,12
15932,86,32,11,112
18046,140,70,37,137
12866,41,23,7,64
19006,150,91,50,180
5359,35,22,10,19
