seconds,points,two_p,two_pm,value
2906,7,4,1,10
3835,28,26,8,20
1450,6,4,3,1
2614,12,6,3,15
1639,14,10,5,17
17,0,0,0,0
2773,24,13,10,36
2929,19,9,3,1
1366,0,0,0,-7
2569,5,4,2,0
2614,17,3,2,13
3962,19,18,9,21
2363,14,12,7,29
3451,31,9,4,26
2303,6,10,3,3
2198,11,10,3,13
2062,11,4,1,3
1815,5,8,1,6
1265,11,2,1,8
3467,19,17,5,27
2832,25,14,7,30
1790,16,9,6,11
3729,24,18,6,18
3974,14,7,2,24
155,0,0,0,0
2885,25,18,10,28
2793,28,15,11,29
3221,16,8,6,17
1592,0,1,0,7
1029,3,3,1,2
3662,26,21,8,22
2843,22,14,7,21
3266,23,5,3,33
2625,17,10,7,15
1883,8,1,1,4
3609,14,6,3,9
3040,27,20,12,37
1395,10,3,3,16
268,0,0,0,0
1409,9,1,1,14
2449,5,7,2,10
2579,17,4,1,13
2759,33,9,6,45
2823,21,10,7,26
108,0,1,0,-2
1014,4,2,1,5
2726,7,7,3,10
2903,30,13,13,45
1844,17,8,3,13
1583,13,4,2,9
1585,9,3,2,10
1627,15,9,6,15
2506,18,5,3,14
810,8,3,1,5
1551,7,5,3,7
2384,10,4,3,13
2025,10,11,4,5
2609,26,11,6,27
2392,13,12,4,21
36,0,0,0,0
2142,15,4,3,10
3164,21,8,5,29
2685,16,10,4,36
1096,13,13,6,7
600,3,1,0,0
3811,27,13,7,14
693,2,2,1,3
3721,18,6,3,29
3013,25,14,9,28
174,0,0,0,-1
3986,19,14,7,12
636,4,3,2,2
1791,17,7,4,10
1296,2,2,1,7
1301,7,4,2,6
3578,29,9,3,44
343,2,1,1,-1
3095,15,10,4,17
2525,12,10,5,12
3076,28,10,4,31
1938,13,7,1,7
1560,7,3,1,10
1148,5,1,1,1
3342,26,3,1,23
2007,13,3,1,16
1703,7,6,3,5
1953,6,10,1,0
1310,11,2,2,14
1677,14,5,4,16
2997,11,4,1,15
2505,22,11,4,19
1966,16,12,7,9
2567,15,9,5,14
1466,8,4,1,12
1525,9,1,0,14
1880,7,8,2,1
1890,25,13,8,26
2418,19,7,4,25
3109,26,8,5,31
4068,35,14,6,25
3712,25,9,5,23
3325,15,11,5,16
3527,38,13,7,35
3640,14,9,4,18
4012,27,20,8,17
65,0,0,0,-1
1432,6,4,3,14
3736,28,26,13,23
3026,18,12,6,13
4061,18,4,2,13
1396,4,6,2,4
3,0,0,0,0
3965,21,6,2,28
3759,14,5,3,32
3118,26,21,10,30
2437,8,3,1,1
2308,0,0,0,5
4976,19,14,6,14
4987,39,22,12,31
2235,16,20,8,12
4202,21,11,5,8
4010,46,13,11,56
403,2,2,1,-3
990,2,2,1,2
4726,33,10,5,10
5168,24,11,4,48
4969,41,27,16,58
442,5,1,1,9
5540,31,14,3,22
5291,39,16,12,58
896,4,3,1,-1
2495,14,11,6,19
2218,12,3,2,7
3838,22,10,6,10
524,2,1,1,3
4416,36,12,6,31
4471,22,7,5,30
3818,29,23,11,23
3453,35,13,7,36
4821,38,16,10,41
3237,5,5,2,7
360,0,0,0,-1
2389,18,14,8,27
5207,27,6,3,35
1212,5,3,1,0
2616,17,2,1,12
4914,36,17,10,52
1535,7,3,3,8
4836,38,16,11,45
3854,40,8,5,46
3285,24,11,2,17
280,0,0,0,-1
1718,16,10,7,16
3025,17,9,4,10
4297,25,6,5,35
1906,8,8,4,14
2286,9,5,3,4
3544,35,23,15,52
520,0,0,0,-4
3493,19,7,3,21
4244,26,17,8,37
2444,18,10,5,19
4025,22,18,9,30
4371,24,12,9,25
2878,6,10,3,8
800,0,1,0,-2
3724,23,16,10,40
3890,23,9,4,14
2704,9,7,4,18
3427,20,19,7,10
1947,10,7,2,8
1681,12,9,5,13
4803,32,13,7,24
4353,15,7,1,-5
3363,17,5,1,9
3758,30,12,4,37
1077,0,0,0,-6
669,3,1,0,0
4837,16,12,4,21
3964,37,22,11,35
3610,21,17,7,21
1280,3,1,0,5
658,2,1,1,2
3987,22,3,2,23
3731,29,14,8,34
3213,9,6,2,10
5162,49,21,14,61
2166,18,7,4,17
1119,5,1,1,1
1869,8,10,4,4
5526,20,13,8,35
2453,15,5,4,14
5114,54,35,21,64
1660,12,4,3,13
3000,19,13,9,20
2787,16,6,2,20
879,2,4,1,-1
2596,3,4,1,8
1425,1,3,0,-3
3947,19,18,8,13
4110,49,13,10,50
4907,18,17,6,23
3513,17,15,6,14
5208,46,16,12,41
2009,20,18,10,9
1619,19,8,4,18
2924,8,2,0,7
4284,12,6,2,18
6066,50,36,14,43
1793,8,5,4,3
4476,20,8,4,26
2432,14,11,5,17
17,0,0,0,0
4164,34,21,15,44
4961,38,16,6,16
1919,0,0,0,-9
2964,7,5,2,1
4342,31,5,4,38
3962,19,18,9,21
3480,22,18,11,40
4866,35,13,6,29
3747,20,19,10,13
3807,24,16,7,27
3820,22,4,1,15
2626,14,9,2,12
1694,11,3,1,6
5156,33,25,10,44
4092,30,17,8,38
2736,27,11,7,17
5402,30,24,7,23
5500,22,12,3,29
155,0,0,0,0
4507,35,25,14,41
4217,41,22,15,38
4213,18,11,7,19
2582,6,6,3,10
1407,3,4,1,0
1189,5,1,1,12
6,0,0,0,0
4949,30,28,10,23
4105,35,20,10,31
4398,30,9,5,40
3909,34,16,12,36
2793,8,2,1,0
4793,20,7,3,12
4663,32,25,14,40
2462,13,6,4,20
934,5,3,2,5
2988,23,2,1,30
3468,15,9,4,21
3899,19,6,2,15
3862,37,15,8,46
4009,28,14,9,35
215,1,1,0,-1
1014,4,2,1,5
4107,20,11,7,29
4053,48,23,20,70
3177,24,14,5,19
2542,20,6,3,17
2599,11,6,2,15
2970,25,14,10,31
85,0,0,0,-1
3667,33,6,3,26
1745,15,5,3,9
2061,7,7,3,4
3170,14,6,5,21
3586,21,16,7,24
3649,36,18,10,33
3845,31,23,12,41
36,0,0,0,0
3164,21,6,4,14
4238,31,10,5,39
3263,18,13,5,40
1362,13,13,6,6
2214,10,4,2,9
5389,44,21,9,24
1157,3,2,1,3
5531,18,9,3,30
5044,38,24,14,45
451,0,0,0,-2
5671,28,20,10,20
1248,7,4,3,3
1791,17,7,4,10
2762,14,3,1,14
1891,13,7,3,12
5065,37,14,7,52
624,3,2,1,-3
4936,21,14,5,26
3696,18,13,8,18
4486,43,16,7,54
2967,24,13,4,12
1926,7,4,1,13
1148,5,1,1,1
5272,39,4,2,36
3248,22,6,2,21
2280,13,11,5,11
3314,22,16,5,20
2103,13,5,3,15
3112,27,7,5,40
4215,22,7,2,21
4232,30,15,7,28
3247,20,16,9,16
3449,21,12,5,27
2026,8,4,1,12
2348,13,2,0,19
2502,10,10,2,0
2540,29,16,9,23
3425,26,11,7,27
4904,43,18,10,49
5579,46,18,8,27
4673,36,15,8,32
