seconds,points,assists,rebounds,value
228,0,1,0,7
98,0,0,0,2
227,2,2,0,20
253,0,0,0,4
183,-1,0,0,5
173,-1,0,0,2
213,2,2,0,14
316,3,1,0,9
183,0,0,0,6
288,2,2,0,18
179,0,0,0,4
245,1,1,-1,12
21,-1,0,-1,0
210,1,0,-1,3
212,0,0,-1,6
112,-2,0,-1,0
262,1,2,-1,16
12,-1,0,-1,0
97,1,1,-1,8
241,2,2,-1,18
146,1,0,-1,7
191,2,1,-1,12
233,0,0,0,7
83,-1,0,0,4
245,-1,0,0,5
304,3,3,0,25
41,-2,0,0,0
242,1,0,0,6
136,1,1,0,10
244,1,2,0,16
132,0,0,0,2
87,-1,0,0,0
171,-1,0,0,6
236,2,1,0,13
30,-1,0,0,0
164,-1,1,0,8
179,1,1,0,12
241,3,2,0,22
174,1,0,0,4
159,-1,0,0,2
246,2,1,0,10
48,-1,0,0,0
102,0,0,0,6
194,1,1,-1,11
247,0,0,-1,6
222,1,1,-1,11
80,-1,0,-1,0
24,-2,0,-1,0
129,1,0,-1,6
113,1,1,-1,8
96,-1,0,-1,2
139,0,0,-1,3
269,2,2,-1,16
219,2,2,-1,19
177,1,0,-1,4
195,1,1,-1,15
172,1,0,-1,3
182,0,1,-1,12
73,0,0,-1,6
150,0,1,-1,8
168,1,1,-1,11
227,1,1,-1,8
119,0,0,-1,5
274,2,1,-1,11
172,-2,0,-1,0
140,-1,0,-1,2
192,0,0,-1,4
195,1,1,-1,15
235,1,1,-1,11
176,0,0,-1,5
215,0,1,-1,9
102,-2,0,-1,0
118,-2,0,-1,0
206,1,1,-1,10
221,1,0,-1,7
139,0,1,-1,10
137,0,0,-1,0
175,1,0,-1,5
229,-1,0,-1,6
176,0,1,-1,11
198,0,0,-1,7
189,0,1,-1,11
44,0,0,-1,2
86,-2,0,-1,0
126,0,0,-1,5
132,0,0,-1,0
142,0,0,-1,4
128,0,0,-1,6
216,2,2,-1,17
140,0,0,-1,2
218,0,0,-1,4
216,1,0,-1,6
229,2,2,-1,18
76,0,0,-1,4
186,1,1,-1,10
56,0,0,-1,4
163,-1,0,0,0
234,0,0,0,5
146,-1,0,0,4
80,0,0,0,0
276,1,1,0,15
213,1,1,0,11
66,-1,0,0,0
117,0,0,0,5
221,0,1,0,9
220,2,1,0,15
199,0,0,-1,6
121,-2,0,-1,3
188,1,0,-1,7
117,1,0,-1,5
161,-1,1,-1,8
173,1,1,-1,8
103,-1,0,-1,4
197,0,1,-1,8
93,0,0,-1,0
149,1,0,-1,7
227,2,2,-1,23
166,2,2,-1,16
3,0,0,-1,0
200,-2,0,-1,0
213,1,1,-1,10
203,1,1,-1,12
215,1,1,-1,11
157,-1,0,-1,0
152,0,0,-1,4
247,3,1,-1,11
157,0,0,-1,4
37,0,0,-1,0
48,-1,0,0,0
212,0,1,0,10
80,-1,0,0,2
214,2,1,0,14
166,-1,0,0,4
18,-2,0,0,0
63,0,0,0,0
259,0,2,0,18
160,0,0,0,4
150,0,0,0,5
207,0,0,0,2
170,0,0,0,5
221,1,2,-1,18
126,-1,0,-1,5
279,2,1,-1,14
211,0,0,-1,7
153,0,0,-1,1
136,1,1,-1,10
185,0,1,-1,8
186,0,0,-1,7
250,0,0,-1,2
183,-1,0,-1,3
77,-1,0,-1,3
148,0,0,-1,1
83,0,0,-1,4
199,2,2,-1,18
200,2,1,-1,12
179,1,1,-1,15
218,2,1,-1,14
216,0,0,-1,3
127,-1,0,-1,0
117,0,1,-1,8
170,0,0,-1,3
206,1,0,-1,4
166,0,1,-1,11
109,-1,0,-1,6
218,1,0,-1,7
104,0,0,-1,3
228,0,1,-1,9
124,1,0,-1,7
240,1,1,-1,14
184,3,2,-1,18
245,-2,0,0,6
229,0,1,0,8
273,3,2,0,16
228,-1,1,0,11
165,1,1,0,11
221,0,0,0,6
104,-1,0,0,4
93,-1,0,0,7
166,0,0,0,3
152,1,1,0,15
231,0,0,0,7
207,0,1,0,11
200,0,0,0,5
215,0,0,0,5
158,0,0,0,0
78,-2,0,0,0
234,1,0,0,4
256,0,1,0,13
45,-2,0,-1,0
273,1,1,-1,13
236,1,0,-1,6
283,3,2,-1,17
176,-1,0,-1,4
199,1,1,-1,11
156,0,0,-1,5
183,0,1,-1,8
149,0,0,-1,6
162,-1,1,0,9
110,1,1,0,11
123,0,1,0,9
143,0,0,0,6
173,2,1,0,13
177,2,1,0,11
125,0,1,0,9
149,0,1,0,9
157,1,0,0,6
30,0,0,0,0
142,0,0,0,6
177,0,0,0,8
129,0,0,0,0
133,0,1,0,11
73,-2,0,0,0
201,1,0,0,5
101,-1,0,0,4
178,0,1,0,12
157,0,0,0,2
230,1,1,0,15
141,2,1,0,14
62,-1,0,-1,6
184,0,0,-1,6
115,-1,0,-1,6
190,2,1,-1,14
91,0,0,-1,6
112,0,0,-1,4
221,1,1,-1,15
133,2,1,-1,12
43,-1,0,-1,0
195,0,0,-1,7
168,2,1,-1,12
162,0,1,0,11
134,-1,0,0,8
208,1,2,0,18
120,0,0,0,0
153,1,1,0,11
130,0,0,0,6
74,0,0,0,0
136,1,1,0,9
137,0,0,0,7
52,-1,0,0,3
214,0,0,0,4
144,1,1,0,11
19,-1,0,0,2
81,-1,0,0,3
172,1,0,0,4
197,3,2,0,24
114,0,0,0,2
162,0,1,0,10
162,1,1,0,10
128,1,0,0,6
59,0,0,0,2
139,-1,0,0,5
103,1,1,0,11
54,0,0,0,5
189,1,1,0,12
216,0,1,0,11
127,-2,0,0,0
145,0,0,0,4
164,-2,0,0,6
169,0,1,0,9
182,1,1,0,11
164,1,0,0,5
91,0,0,0,7
184,1,0,-1,8
196,1,1,-1,14
170,0,0,-1,5
55,-1,0,-1,2
161,1,0,-1,2
120,0,0,-1,4
144,1,1,-1,11
146,0,0,-1,8
102,-1,0,-1,4
128,1,0,-1,8
96,1,0,-1,6
135,-1,0,-1,3
230,1,1,-1,13
165,-2,0,-1,2
111,0,0,-1,3
179,0,0,-1,6
194,1,1,-1,9
40,-1,0,-1,0
108,0,0,-1,7
160,1,1,-1,15
196,0,0,-1,5
193,-1,0,0,8
182,0,0,0,4
212,1,1,0,12
68,0,0,0,2
226,1,1,0,14
107,0,0,0,0
144,0,0,0,2
58,-1,0,0,8
97,-1,0,0,5
232,1,1,0,9
137,0,0,-1,2
257,0,1,-1,10
160,0,0,-1,8
246,1,1,-1,10
218,1,2,-1,18
116,0,0,-1,6
103,-1,0,-1,0
222,1,1,-1,11
135,-1,0,-1,2
199,3,2,-1,22
94,0,0,-1,1
94,-1,0,-1,7
20,-2,0,-1,0
173,0,0,-1,4
142,0,0,-1,2
104,-1,0,-1,6
202,2,2,-1,26
209,0,1,-1,11
143,0,0,-1,3
169,2,1,-1,10
214,-1,0,-1,5
135,1,1,-1,9
216,1,1,-1,14
93,0,0,-1,5
88,0,0,-1,7
87,0,0,-1,2
198,1,0,-1,8
108,0,0,-1,5
208,1,1,-1,9
210,1,1,-1,13
121,-1,0,-1,5
235,0,1,-1,11
132,-1,1,-1,9
166,0,0,-1,2
181,1,2,-1,19
85,0,0,-1,2
210,2,1,-1,16
131,-1,0,-1,2
155,0,1,-1,12
198,1,1,-1,9
160,-1,0,-1,4
149,2,1,-1,13
183,1,1,-1,16
138,0,0,-1,5
141,0,1,-1,10
172,-1,0,-1,0
103,-1,0,-1,7
117,0,0,-1,8
144,0,1,-1,9
234,0,0,-1,6
189,0,1,-1,11
160,1,0,-1,8
236,1,1,-1,15
136,0,0,-1,4
88,-1,0,-1,2
186,1,0,-1,2
146,1,1,-1,14
253,1,1,-1,16
219,1,0,-1,8
220,2,1,-1,14
35,-2,0,-1,0
183,0,1,-1,9
66,-2,0,-1,1
102,2,1,-1,13
159,-1,0,-1,0
86,0,0,-1,6
194,0,0,-1,3
90,-2,0,-1,0
240,1,1,-1,10
193,1,1,-1,10
69,-1,0,-1,2
113,-1,0,-1,0
208,0,1,-1,10
153,1,1,-1,11
174,1,1,-1,13
164,-1,0,-1,5
82,-1,0,-1,3
176,-1,1,-1,9
216,0,1,-1,11
230,2,1,-1,16
217,-1,1,-1,12
157,0,0,-1,4
222,0,0,-1,0
81,-1,0,-1,2
67,-1,0,-1,5
151,0,0,-1,4
126,1,0,-1,9
177,1,0,-1,7
5,-2,0,-1,0
145,1,1,-1,14
149,1,1,-1,11
144,0,0,-1,6
70,0,0,-1,0
60,-1,0,-1,5
117,0,1,-1,10
183,0,0,-1,9
48,-1,0,-1,4
119,0,0,-1,6
160,1,1,-1,19
61,0,0,-1,4
217,1,1,-1,12
131,0,0,-1,4
116,0,0,-1,3
183,1,0,-1,8
99,0,0,-1,8
177,1,0,-1,8
186,0,1,-1,13
179,1,0,-1,6
120,-1,1,-1,11
90,0,0,-1,3
8,-1,0,-1,0
243,2,1,-1,17
49,-1,0,-1,0
63,-1,0,-1,0
188,1,1,-1,10
175,0,0,-1,7
218,1,1,-1,12
204,0,0,-1,5
35,-2,0,-1,0
129,0,0,-1,4
139,-1,0,-1,0
155,0,1,-1,12
109,0,0,-1,4
229,1,1,-1,19
149,1,1,-1,16
122,-1,0,-1,2
74,-2,0,-1,0
121,0,0,0,0
107,0,0,0,4
178,1,1,0,19
182,1,1,0,11
129,1,1,0,11
169,1,0,0,6
141,0,0,0,5
137,1,1,0,16
166,1,1,0,13
103,-2,0,0,5
205,1,0,0,7
167,1,1,0,13
71,-1,0,0,3
51,-1,0,0,3
99,0,0,0,0
113,1,1,0,10
27,-2,0,0,0
144,0,0,0,5
216,0,0,0,8
146,1,1,0,16
212,0,0,-1,8
254,3,3,-1,30
56,-2,0,-1,0
133,1,1,-1,14
147,0,1,-1,12
121,1,0,-1,2
5,-2,0,-1,0
134,0,0,-1,6
194,1,1,-1,15
87,-1,0,-1,1
177,-1,0,-1,6
140,1,0,-1,8
133,-1,0,-1,2
143,1,1,-1,16
215,1,1,-1,11
108,0,0,-1,6
112,0,0,-1,6
74,-2,0,-1,3
77,-1,0,-1,1
164,0,0,-1,6
136,1,1,-1,11
197,1,1,-1,17
175,1,1,-1,14
127,-1,0,-1,5
117,0,0,-1,6
120,-1,0,-1,6
111,-1,0,-1,6
178,1,1,-1,12
160,0,0,-1,9
15,0,0,-1,0
80,0,0,0,6
60,1,0,0,8
200,2,2,0,21
154,1,1,0,12
8,-1,0,0,0
157,0,0,0,3
159,1,1,0,10
173,2,1,0,15
99,0,0,0,5
87,-2,0,0,4
125,1,1,0,12
41,-1,0,0,0
109,0,0,-1,5
105,-2,0,-1,0
173,0,0,-1,3
110,0,0,-1,7
162,1,1,-1,13
154,0,1,-1,13
51,-1,0,-1,0
202,4,2,-1,29
106,0,0,-1,7
167,1,0,-1,8
148,0,0,-1,7
164,-1,0,-1,6
201,2,1,-1,17
180,0,0,-1,7
103,0,0,-1,2
61,0,0,-1,4
87,0,0,-1,5
64,-1,0,-1,0
100,0,0,-1,7
94,-1,0,-1,3
133,2,1,-1,16
101,0,1,0,10
167,1,0,0,8
134,1,1,0,15
105,-1,0,0,3
116,0,0,0,4
154,-1,0,0,6
165,1,1,0,13
94,0,0,0,5
164,0,1,0,12
143,1,0,0,6
93,-2,0,0,2
131,-1,0,0,4
100,-1,0,0,0
134,1,1,0,17
46,-1,0,0,0
41,-1,0,0,2
248,1,2,0,24
167,1,0,0,9
12,-1,0,0,0
200,1,1,0,14
152,0,0,0,2
216,-1,0,-1,7
100,0,0,-1,7
220,2,1,-1,19
225,0,1,-1,15
91,1,1,-1,11
193,1,1,-1,14
74,-1,0,-1,2
52,-2,0,-1,2
173,1,1,-1,12
131,-1,0,0,2
155,0,0,0,5
59,-1,0,0,0
119,1,1,0,14
168,2,2,0,21
133,0,0,0,1
114,1,1,0,13
105,-1,0,0,3
185,1,1,0,11
128,0,1,0,14
42,-1,0,0,0
192,2,1,-1,19
7,-1,0,-1,0
43,-2,0,-1,0
198,2,1,-1,15
156,0,0,-1,7
20,-1,0,-1,0
184,1,0,-1,8
78,-1,0,-1,2
98,0,0,-1,5
92,-1,0,-1,3
70,-1,0,-1,5
203,1,1,-1,16
26,-1,0,-1,2
228,1,1,-1,16
171,2,1,-1,12
45,-2,0,-1,0
77,-1,0,-1,0
174,1,0,-1,6
152,0,0,-1,6
192,0,0,-1,6
185,0,1,-1,11
92,-1,0,-1,8
51,-1,0,-1,2
89,0,0,-1,10
113,-1,0,-1,2
162,0,0,-1,9
98,0,0,-1,7
93,-1,0,-1,5
193,1,1,-1,13
135,1,0,-1,7
154,0,0,-1,2
110,-1,0,-1,3
190,-1,0,-1,7
107,0,0,-1,5
34,0,0,-1,0
179,1,1,-1,12
202,0,1,-1,13
89,0,0,-1,4
200,1,1,-1,16
25,-1,0,-1,0
28,-2,0,-1,0
151,0,0,-1,2
63,0,1,0,12
32,-2,0,0,0
171,0,1,0,14
164,1,1,0,14
148,1,1,0,12
4,0,0,0,0
126,2,1,0,15
177,1,0,0,8
125,0,0,0,8
4,-1,0,0,0
61,-1,0,0,3
107,0,0,0,4
84,0,0,-1,5
157,0,0,-1,6
106,0,0,-1,10
129,-1,0,-1,3
118,1,0,-1,8
124,-1,0,-1,9
130,-1,0,-1,0
111,0,0,-1,4
18,-1,0,-1,2
112,0,0,-1,5
117,1,1,-1,15
109,1,0,-1,4
112,2,2,-1,24
104,0,0,-1,6
156,0,0,-1,9
140,0,0,-1,4
129,0,0,-1,4
111,1,0,-1,8
109,1,0,-1,9
43,-2,0,-1,2
76,0,0,-1,8
113,-1,0,-1,4
109,0,0,-1,9
13,-1,0,-1,0
166,0,0,-1,5
87,-1,0,-1,0
137,1,1,-1,14
149,0,0,-1,6
32,-1,0,-1,0
191,2,1,-1,21
119,0,0,-1,6
199,1,1,-1,15
146,-1,0,-1,3
124,1,0,-1,10
182,-1,0,-1,2
99,0,0,-1,4
206,2,1,-1,20
100,0,0,-1,9
135,0,1,-1,11
69,-2,0,-1,2
139,1,0,-1,7
188,0,0,-1,10
27,0,0,-1,1
198,1,1,-1,18
23,0,0,-1,0
192,0,1,-1,15
131,1,0,-1,10
52,-2,0,-1,2
160,0,0,-1,10
133,1,0,-1,6
81,0,0,-1,2
17,-1,0,-1,0
116,0,0,-1,8
63,-2,0,-1,3
177,2,1,-1,15
94,0,0,-1,8
17,-2,0,-1,0
88,0,0,-1,4
153,0,0,-1,6
54,-1,0,-1,6
140,0,0,-1,8
161,1,1,-1,13
135,0,0,-1,6
152,0,0,-1,3
203,1,2,-1,23
90,-2,0,-1,0
121,0,0,-1,5
129,0,0,-1,9
79,0,0,-1,0
132,0,1,-1,13
154,1,0,-1,9
118,0,0,-1,9
28,-1,0,-1,0
185,1,1,0,13
53,-2,0,0,0
180,1,1,0,20
158,0,1,0,13
33,-1,0,0,0
68,-1,0,0,2
173,1,0,0,10
149,0,1,0,14
124,-1,0,0,0
78,-1,0,0,6
187,1,1,-1,11
125,1,1,-1,20
170,0,0,-1,5
174,0,0,-1,5
140,0,0,-1,9
116,0,0,-1,3
53,-1,0,-1,0
80,0,1,-1,12
62,-1,0,-1,9
96,0,0,-1,3
117,0,0,-1,8
177,0,0,-1,10
144,0,0,-1,9
125,0,0,-1,8
150,1,1,-1,13
99,0,0,-1,2
32,0,0,-1,0
135,1,1,-1,13
137,0,0,-1,8
84,0,0,-1,8
148,0,0,0,6
189,1,1,0,18
93,0,0,0,5
187,0,0,0,10
18,-2,0,0,0
43,-2,0,0,0
58,0,0,0,2
169,0,0,0,5
97,0,0,0,7
200,1,1,0,11
218,1,1,-1,19
59,-1,0,-1,0
244,0,0,-1,2
123,0,0,-1,5
10,-1,0,-1,0
187,1,1,-1,13
59,-2,0,-1,0
155,0,1,-1,13
43,-2,0,-1,0
232,1,1,-1,11
172,1,1,-1,15
202,0,0,-1,8
38,-1,0,-1,2
72,-1,0,-1,0
114,0,0,-1,6
200,1,1,-1,15
98,0,0,-1,8
36,-2,0,-1,0
146,0,0,-1,8
178,0,0,-1,2
78,0,0,-1,2
14,-1,0,0,0
115,0,0,0,10
58,1,1,0,16
209,0,0,0,4
179,1,0,0,10
113,0,1,0,11
131,0,1,0,17
123,1,0,0,8
164,0,0,0,10
62,-2,0,0,3
97,-2,0,-1,2
181,1,1,-1,11
144,0,1,-1,18
80,0,0,-1,2
53,-1,0,-1,0
112,1,1,-1,13
88,0,0,-1,6
99,-1,0,-1,7
203,1,1,-1,16
119,0,0,-1,4
15,-2,0,-1,0
120,0,0,-1,10
152,1,1,-1,14
98,0,0,-1,2
167,1,1,-1,14
44,-1,0,-1,3
110,1,0,-1,8
184,1,1,-1,14
59,0,0,-1,7
155,1,0,-1,5
183,2,1,-1,18
46,-1,0,-1,3
209,0,0,-1,2
123,0,0,-1,9
8,-1,0,-1,3
175,1,1,-1,18
34,-2,0,-1,0
127,0,0,-1,10
38,-1,0,-1,2
154,0,0,-1,3
150,1,1,0,15
123,0,1,0,18
173,2,1,0,17
85,0,0,0,9
75,0,0,0,3
95,0,0,0,4
54,-1,0,0,3
137,1,1,0,17
51,-2,0,0,4
148,1,0,0,11
125,0,0,0,8
136,1,1,0,19
89,0,0,0,9
93,0,0,0,2
139,0,0,0,6
84,0,0,0,5
24,-1,0,0,0
130,2,1,0,15
158,1,1,0,17
53,0,0,0,7
59,0,0,0,4
119,0,0,-1,5
190,3,2,-1,26
99,-1,0,-1,7
63,-1,0,-1,0
156,0,0,-1,8
71,0,0,-1,4
9,-1,0,-1,0
106,1,1,-1,18
141,1,0,-1,10
134,0,1,-1,12
132,1,1,0,13
67,-1,0,0,0
113,-1,0,0,0
115,-1,0,0,0
86,-1,0,0,7
63,-1,0,0,2
150,1,1,0,19
142,0,0,0,9
124,-1,0,0,10
99,-1,0,0,4
121,0,0,0,7
130,1,1,0,15
117,1,0,0,4
100,0,0,0,2
124,1,1,0,17
144,1,2,0,26
121,0,0,0,5
152,2,1,0,15
50,-1,0,0,0
30,-1,0,0,2
128,1,1,-1,13
85,0,1,-1,12
154,0,0,-1,9
122,1,1,-1,16
4,-1,0,-1,0
91,0,0,-1,6
122,0,0,-1,9
28,-1,0,-1,0
173,0,0,-1,9
93,0,0,-1,0
89,0,1,-1,14
127,1,0,-1,10
73,-2,0,-1,0
140,0,0,-1,7
112,-1,0,-1,7
121,0,0,-1,4
106,0,0,-1,4
9,-1,0,-1,2
26,-1,0,-1,0
140,0,0,-1,6
67,0,0,-1,6
168,1,0,-1,11
162,-1,0,-1,6
61,0,0,-1,0
166,0,1,-1,15
162,1,1,-1,20
110,0,0,-1,4
91,1,0,-1,10
117,0,0,-1,10
4,-1,0,-1,0
77,-1,0,-1,5
141,0,0,-1,7
132,1,0,-1,9
191,1,1,-1,13
75,-2,0,-1,2
87,-1,0,-1,0
161,0,1,-1,13
165,0,1,-1,18
116,1,1,-1,12
28,-1,0,-1,2
118,1,1,-1,13
61,0,0,0,2
153,1,1,0,16
112,0,0,0,7
131,0,0,0,2
30,0,0,0,0
157,0,0,0,2
129,0,0,0,8
74,0,1,0,12
76,-1,1,0,12
86,0,0,0,11
73,-1,0,0,4
179,1,2,-1,25
65,-1,0,-1,0
23,0,0,-1,2
190,2,2,-1,24
196,1,1,-1,20
0,0,0,-1,0
0,0,0,-1,0
106,1,0,-1,11
182,1,0,-1,7
36,-1,0,-1,1
3,-1,0,-1,0
108,0,1,-1,12
130,2,2,0,25
145,0,0,0,8
148,0,0,0,9
76,-1,0,0,5
97,0,0,0,7
65,1,1,0,12
185,1,1,0,16
59,0,0,0,6
58,-2,0,0,0
124,1,0,0,8
92,-2,0,-1,4
157,0,0,-1,9
151,1,1,-1,17
116,1,0,-1,11
67,-1,0,-1,3
79,0,0,-1,7
125,1,0,-1,7
7,0,0,-1,2
81,-1,0,-1,9
140,2,1,-1,20
74,0,0,-1,2
32,-2,0,-1,0
110,-1,0,-1,3
129,0,0,-1,11
166,0,0,-1,10
120,1,1,-1,14
27,-2,0,-1,0
76,-1,0,-1,6
130,1,0,-1,9
50,-1,0,-1,0
16,-1,0,-1,0
93,0,0,-1,6
142,0,1,-1,14
116,-1,0,-1,8
182,1,1,-1,14
16,-1,0,-1,2
112,-1,0,-1,8
108,0,0,-1,7
134,0,0,-1,8
95,0,0,-1,4
45,-1,0,-1,0
91,1,0,-1,8
115,0,1,-1,16
87,0,0,-1,10
91,-1,0,-1,2
156,1,1,-1,15
152,1,0,-1,11
174,0,1,-1,16
150,0,0,-1,7
55,0,0,-1,5
73,0,0,-1,0
100,0,1,-1,14
89,0,0,-1,6
45,-1,0,-1,3
124,1,0,0,12
109,0,0,0,5
109,0,0,0,10
94,1,0,0,10
97,0,0,0,6
144,0,0,0,6
139,0,0,0,8
74,0,0,0,7
100,1,0,0,12
98,-1,0,-1,7
127,1,0,-1,8
111,0,0,-1,6
47,-1,0,-1,0
105,-1,1,-1,14
77,0,0,-1,4
19,-1,0,-1,0
50,0,0,-1,2
81,-1,0,-1,10
135,0,0,-1,12
119,0,0,-1,3
28,-1,0,-1,2
52,-1,0,-1,0
139,0,0,-1,9
142,1,1,-1,16
87,0,0,-1,3
11,0,0,-1,0
147,1,0,-1,9
79,0,0,-1,0
108,0,0,-1,10
69,-1,0,-1,6
68,0,0,-1,4
92,0,0,-1,9
155,0,0,-1,7
57,-1,0,-1,5
41,-1,0,-1,0
170,1,1,-1,21
152,0,0,-1,9
81,0,0,-1,2
72,-1,0,-1,4
128,0,0,-1,7
36,-2,0,-1,0
3,-1,0,-1,0
103,0,0,-1,7
139,-1,0,-1,3
68,0,0,-1,10
156,0,0,-1,6
110,0,0,-1,12
165,1,1,-1,14
91,1,0,-1,8
54,0,0,-1,3
62,0,0,-1,8
149,1,0,-1,8
80,-1,0,-1,0
134,0,0,-1,4
108,0,0,-1,9
48,-2,0,-1,0
64,-1,0,-1,0
140,-1,0,-1,7
138,0,0,-1,8
45,0,0,-1,0
134,1,1,-1,17
104,0,1,-1,14
103,0,0,-1,10
109,0,0,-1,10
78,0,0,-1,2
112,1,0,-1,9
94,1,1,-1,16
7,-1,0,-1,0
31,-1,0,-1,4
106,0,0,-1,5
90,1,0,-1,9
58,-1,0,-1,5
110,1,1,-1,16
93,1,1,-1,14
50,0,0,0,5
96,-1,0,0,6
77,-1,0,0,4
103,-1,0,0,8
134,0,0,0,12
115,-1,0,0,5
81,-2,0,0,0
85,-1,0,0,6
107,0,0,0,9
58,-1,0,0,3
87,0,0,0,2
126,0,0,-1,10
86,-1,0,-1,8
121,-1,0,-1,8
104,-1,0,-1,5
59,-1,0,-1,3
117,-1,0,-1,5
115,1,0,-1,12
77,-1,0,-1,0
114,0,1,-1,18
78,-1,0,-1,11
125,-1,0,-1,8
122,0,0,-1,12
102,0,0,-1,8
98,0,0,-1,4
94,0,0,-1,7
118,0,1,-1,15
106,0,0,-1,0
127,0,0,-1,8
47,-1,0,-1,4
60,-1,0,-1,2
79,0,0,-1,2
132,0,1,-1,13
47,-1,0,-1,2
121,1,1,-1,18
122,0,0,-1,7
91,1,1,-1,15
26,-1,0,-1,0
109,1,0,-1,8
167,1,1,-1,16
60,0,0,-1,0
43,0,0,-1,7
119,0,0,0,0
172,1,1,0,22
80,-1,0,0,0
25,-2,0,0,0
108,0,0,0,5
78,1,0,0,10
109,0,0,0,12
121,1,1,0,14
133,0,0,0,10
53,-1,0,0,4
179,0,0,0,11
147,0,0,0,3
136,1,1,0,14
14,-1,0,0,2
146,1,1,0,19
48,-1,0,0,3
84,0,0,0,9
72,-1,0,0,3
168,-1,0,0,5
137,1,1,-1,13
90,1,0,-1,11
125,1,1,-1,16
129,-1,0,-1,0
129,0,1,-1,13
74,-1,0,-1,2
24,-1,0,-1,0
21,-2,0,-1,0
95,0,0,-1,4
83,0,0,-1,8
89,-1,0,-1,0
117,-1,0,-1,11
155,0,0,-1,6
46,-1,0,-1,4
82,-1,0,-1,6
92,0,0,-1,9
59,0,0,-1,7
42,-1,0,-1,0
68,-1,0,-1,3
117,1,1,-1,14
101,0,1,-1,14
25,-1,0,-1,0
95,1,1,-1,14
85,0,0,0,4
106,0,1,0,13
114,1,0,0,7
145,0,0,0,12
18,-2,0,0,0
73,1,0,0,12
99,-2,0,0,4
162,1,1,0,14
31,0,0,0,3
162,2,1,0,16
128,0,0,-1,9
124,0,0,-1,2
134,1,0,-1,11
139,0,0,-1,8
119,0,0,-1,9
75,1,0,-1,6
135,1,0,-1,12
110,0,0,-1,10
28,-1,0,-1,3
51,-1,0,-1,2
112,0,0,-1,8
106,0,0,-1,4
113,0,0,-1,5
103,0,1,-1,13
2,-1,0,-1,0
70,-1,0,-1,4
123,0,0,-1,6
84,-2,0,-1,2
118,0,0,-1,6
113,0,0,-1,8
112,1,1,-1,16
21,-1,0,-1,0
106,0,0,-1,3
113,-1,0,-1,8
75,0,0,-1,2
105,0,1,-1,15
86,-1,0,-1,6
40,-1,0,-1,5
76,0,0,-1,9
68,0,0,-1,5
113,0,1,-1,14
122,0,1,-1,22
126,0,0,-1,6
37,-1,0,-1,4
89,-1,0,-1,5
120,-1,0,-1,3
84,-1,0,-1,7
85,-1,0,-1,4
94,0,0,-1,6
121,-1,0,-1,9
27,-1,0,-1,0
56,-1,0,-1,0
183,1,1,-1,18
104,-1,0,-1,0
68,-1,0,-1,0
111,0,0,-1,6
63,0,0,-1,2
122,1,1,-1,21
109,0,0,-1,9
88,0,0,-1,9
14,-1,0,-1,0
80,0,1,0,15
37,-1,0,0,0
154,0,0,0,6
123,1,0,0,13
33,-1,0,0,9
124,0,0,0,7
27,-1,0,0,0
102,0,0,0,8
97,-1,0,0,9
143,-1,0,0,9
145,-1,0,0,8
64,-1,0,0,4
101,0,0,0,8
127,1,0,0,12
138,1,1,0,17
106,0,0,0,10
97,0,0,0,8
78,0,0,0,4
110,-1,0,0,11
59,-1,0,0,3
115,0,0,-1,11
110,0,0,-1,7
68,-1,0,-1,5
108,0,0,-1,7
140,2,1,-1,17
92,0,0,-1,11
28,-1,0,-1,0
113,1,0,-1,9
150,0,1,-1,16
36,0,0,-1,4
63,0,0,-1,2
85,-1,0,-1,3
29,-1,0,-1,2
127,0,1,-1,21
62,-1,0,-1,3
111,0,0,-1,4
124,0,1,-1,14
57,-1,0,-1,2
125,1,1,-1,14
68,0,0,-1,7
122,0,0,-1,2
53,-1,0,-1,0
49,-1,0,-1,4
110,-1,0,-1,6
120,0,1,-1,18
34,-2,0,-1,0
124,0,0,-1,8
136,0,1,-1,15
132,-1,0,-1,10
106,1,1,-1,15
57,-1,0,-1,4
72,-1,0,0,5
112,1,0,0,8
82,0,0,0,10
74,-1,0,0,4
77,-1,0,0,6
114,0,1,0,19
126,1,0,0,11
86,0,0,0,9
108,0,1,0,17
67,1,1,0,16
60,0,0,-1,3
139,1,1,-1,18
52,-1,0,-1,0
115,1,0,-1,10
116,0,0,-1,12
22,-2,0,-1,0
82,0,0,-1,6
95,1,1,-1,14
30,-1,0,-1,5
123,1,1,-1,21
82,-1,0,-1,5
120,0,0,-1,2
63,-1,0,-1,9
47,-1,0,-1,4
138,0,0,-1,2
133,0,0,-1,11
64,0,0,-1,4
83,-1,0,-1,10
152,0,0,-1,8
119,0,0,-1,8
106,-1,0,-1,5
61,-1,0,-1,2
63,0,0,-1,4
123,0,0,-1,9
82,-1,0,-1,2
114,0,0,-1,6
86,0,0,-1,3
87,0,0,-1,7
57,-1,0,-1,2
138,1,1,-1,15
64,-1,0,0,2
38,-1,0,0,0
144,1,1,0,15
146,0,0,0,10
133,0,0,0,6
141,2,1,0,21
123,2,1,0,23
82,0,0,0,8
22,-2,0,0,0
56,0,0,0,4
74,0,0,0,10
38,-2,0,-1,0
159,1,1,-1,24
92,0,0,-1,9
56,-1,0,-1,2
94,-1,0,-1,5
121,1,0,-1,10
77,-1,0,-1,11
75,0,0,-1,2
53,-1,0,-1,8
139,0,0,-1,12
