seconds,points,assists,rebounds,value
1860,14,8,1,3
1506,14,12,1,18
86,-1,0,1,0
1992,6,9,1,7
317,0,2,1,4
895,4,8,1,6
648,3,1,1,2
650,3,3,1,7
1788,21,14,1,11
1253,6,8,1,11
300,0,1,1,3
775,3,3,1,5
1192,6,5,1,8
1012,2,4,1,9
1304,13,12,1,19
1196,10,6,1,3
1070,4,7,1,10
1582,14,10,1,16
1342,18,8,1,2
548,3,6,1,4
1514,10,13,0,14
1424,11,8,0,9
1384,6,7,0,2
1218,15,13,0,12
1755,17,15,0,12
1184,2,2,0,0
520,5,2,0,5
1772,8,6,0,4
281,-2,0,0,0
763,-1,3,0,7
1416,14,12,0,12
895,5,7,0,7
1864,8,12,0,8
1986,11,7,0,0
1442,13,12,0,10
1396,14,13,0,11
1610,8,7,0,9
796,3,0,0,0
514,0,1,0,3
1434,5,6,0,4
1495,13,10,0,9
966,3,4,0,4
1561,18,15,0,17
727,4,4,0,4
559,0,2,0,5
802,3,3,0,2
1676,11,7,0,3
1085,5,7,0,5
1690,23,17,0,13
1391,10,6,0,0
1270,10,6,0,8
951,10,9,0,8
754,-1,2,0,0
790,2,0,0,0
1651,3,5,0,6
1660,12,15,0,23
846,7,7,0,2
1354,0,5,0,6
1329,18,13,0,14
838,8,7,0,2
1498,7,5,0,1
1252,9,11,0,18
982,4,8,0,8
1283,7,7,0,5
733,5,3,0,7
762,7,4,0,9
940,0,3,0,6
944,12,12,0,19
1209,12,9,0,4
1554,15,12,0,17
1280,7,12,0,14
1320,7,9,0,12
1128,5,5,0,3
1245,11,13,0,6
1316,5,3,0,2
1238,7,7,0,13
32,-1,0,0,0
532,6,3,0,4
1272,5,10,0,4
1147,5,6,0,3
243,1,1,0,2
1240,5,7,0,10
951,0,2,1,5
1453,4,3,1,7
1917,10,14,1,14
725,0,3,1,2
1307,7,5,1,5
819,8,7,1,10
1386,18,12,1,14
1464,0,9,1,6
682,-4,0,1,0
1284,0,2,1,3
704,7,4,0,9
1831,11,13,0,8
1421,10,10,0,9
1632,16,11,0,16
1312,7,8,0,8
941,1,4,0,0
1804,4,7,0,10
1520,18,13,0,5
697,7,5,0,6
134,0,0,0,0
1306,6,8,1,14
1981,10,9,1,13
1181,14,7,1,10
1725,12,15,1,8
1151,1,3,1,4
1099,6,5,1,8
1030,1,5,1,2
907,3,2,1,5
632,4,5,1,2
1733,13,9,1,9
201,-2,1,0,0
446,0,1,0,2
1572,-1,8,0,8
1686,12,6,0,6
1754,21,15,0,22
221,4,2,0,5
1932,6,9,0,12
1743,26,15,0,14
792,6,3,0,0
805,2,3,0,3
1470,1,7,0,4
928,5,7,-1,11
796,4,5,-1,7
731,3,2,-1,4
760,7,7,-1,11
773,3,3,-1,7
923,2,5,-1,11
299,2,1,-1,0
821,5,5,-1,8
625,1,3,-1,4
384,0,0,-1,2
939,1,3,-1,3
657,1,1,0,3
943,3,2,0,5
1382,10,11,0,22
355,0,1,0,2
1055,5,3,0,8
537,2,2,0,0
925,8,7,0,10
1165,5,9,0,19
411,-3,0,0,0
559,0,0,0,2
1,0,0,0,0
857,5,4,0,8
829,6,2,0,2
722,6,5,0,8
560,-1,1,0,3
505,-1,0,0,0
1108,3,4,0,9
1108,5,7,0,7
462,1,2,0,2
948,2,4,0,11
893,12,10,0,19
757,10,6,0,13
905,4,4,0,11
992,6,5,0,8
754,3,3,0,4
721,6,4,0,6
430,1,1,0,0
528,3,2,0,4
520,-1,2,0,3
530,3,5,0,4
738,4,5,0,7
1116,11,9,0,17
396,4,1,0,5
892,6,5,0,5
613,3,5,0,11
1178,3,6,0,6
1170,4,4,0,8
1020,8,7,0,10
939,7,8,0,13
866,2,2,0,2
595,2,2,0,6
297,-1,0,0,0
851,5,5,0,9
744,6,5,0,8
749,2,1,0,0
1199,13,10,0,17
479,3,4,0,9
354,0,1,0,2
553,4,4,0,12
1282,7,3,0,4
454,2,2,0,0
1140,12,11,0,18
804,6,7,0,15
638,3,2,0,7
446,1,3,0,7
428,0,1,0,0
659,4,2,0,4
857,6,4,0,11
780,6,7,0,10
882,9,8,0,18
696,2,4,0,6
885,7,6,0,10
639,7,2,0,2
270,0,2,0,0
966,6,7,0,9
1014,5,3,0,5
810,5,7,0,15
745,6,6,0,8
1022,7,7,0,8
683,0,0,0,0
622,6,4,0,13
1143,8,7,0,15
309,-1,1,0,5
617,3,4,0,10
150,-2,0,0,1
1128,5,4,0,6
810,4,4,0,6
982,12,9,0,15
665,2,5,0,11
381,2,1,0,0
1199,7,8,0,13
747,3,5,0,9
475,2,3,0,6
778,6,5,0,16
482,2,1,0,2
1161,5,9,1,17
269,0,0,1,1
1223,4,2,1,0
1179,9,8,1,13
120,-2,0,1,0
1225,4,6,1,9
309,0,1,1,3
704,3,4,1,12
412,3,3,1,6
1091,9,6,1,8
1068,12,7,0,14
159,-2,0,0,0
453,2,2,0,6
1069,9,6,0,8
818,8,8,0,9
611,3,4,0,3
403,1,2,0,2
672,2,3,0,8
971,7,5,0,10
398,3,2,0,6
531,0,1,0,4
788,9,7,0,10
792,3,3,0,4
988,7,5,0,6
882,4,3,0,5
978,6,5,0,14
640,0,1,0,0
223,-1,0,0,0
835,8,5,0,11
957,4,5,0,13
545,2,1,0,0
743,1,4,0,8
747,4,3,0,10
869,2,2,0,2
28,-1,0,0,0
826,7,6,0,4
865,7,5,0,7
52,-1,0,0,1
914,7,5,0,13
866,15,11,0,18
751,4,4,0,7
582,3,4,0,7
602,2,1,0,2
718,7,5,0,10
426,1,1,0,3
1071,3,6,0,6
948,-2,3,0,8
802,2,4,0,12
899,9,7,0,15
242,-3,0,0,0
219,0,0,0,2
1077,4,2,0,2
786,6,7,0,7
805,4,4,0,10
1011,10,6,0,14
765,7,4,0,8
1046,5,6,0,4
864,3,5,0,14
902,6,5,0,13
929,4,4,0,11
572,3,3,0,9
353,0,1,0,0
1140,9,7,0,14
477,2,5,0,12
740,6,5,0,15
689,4,3,0,8
396,4,5,0,12
661,2,0,0,2
804,2,3,0,5
977,10,10,0,17
987,3,3,0,0
659,1,2,0,0
1215,8,9,0,14
180,0,0,0,0
1051,3,7,0,16
1160,11,5,0,11
1070,12,8,0,11
1202,5,7,0,12
1182,10,7,0,8
257,-1,1,0,4
567,4,3,0,7
470,0,2,0,4
789,2,4,0,7
174,1,0,0,2
760,7,5,0,14
2,0,0,0,0
1039,3,5,0,4
893,6,7,0,13
921,7,5,0,7
865,9,7,0,17
616,-2,1,0,0
995,2,4,0,6
1047,7,5,0,5
587,3,2,0,3
266,1,1,0,5
546,8,7,0,29
680,3,3,0,9
456,-3,0,0,2
541,4,4,0,14
457,3,2,0,7
97,-1,0,0,0
746,2,0,0,2
186,0,1,0,5
602,6,5,0,16
439,0,2,0,4
641,4,3,0,9
574,6,4,0,12
553,1,2,0,5
422,-2,1,0,0
549,5,3,0,11
27,0,0,0,0
629,2,2,0,6
361,1,2,0,8
467,3,4,0,18
667,5,3,0,11
410,0,0,0,1
640,3,3,0,10
620,4,3,0,14
660,3,3,0,10
360,0,0,0,2
113,-1,0,0,2
607,5,2,0,6
759,3,3,0,10
352,2,2,0,8
368,1,2,0,4
439,1,0,0,2
382,0,0,0,0
647,5,5,0,18
505,2,3,0,11
66,-1,0,0,0
648,4,3,0,11
249,4,2,0,2
461,4,3,0,9
409,1,2,0,6
524,1,2,0,9
609,4,2,0,6
775,0,3,0,4
125,0,0,0,0
725,2,1,0,7
723,3,3,0,6
201,-1,0,0,2
807,0,3,0,8
175,-2,0,0,0
435,1,1,0,2
282,-1,1,0,4
669,6,3,0,10
493,4,2,0,6
319,1,0,0,2
594,3,1,0,0
507,3,3,0,7
272,3,2,0,9
315,2,1,0,6
470,0,0,0,3
629,2,2,0,6
183,0,0,0,0
505,1,2,0,8
497,4,3,0,10
668,7,6,0,21
677,5,1,0,7
112,0,0,0,2
454,6,4,0,13
374,1,2,0,5
588,0,1,0,3
423,0,1,0,4
486,1,1,0,3
727,4,3,0,9
158,0,0,0,3
306,0,1,0,2
92,-2,0,0,0
661,4,3,0,10
482,2,1,0,2
641,9,6,0,19
441,2,4,0,12
195,-1,0,0,0
269,1,0,0,3
625,2,4,0,11
337,0,1,0,3
212,0,0,0,3
564,3,3,0,11
468,2,1,0,4
536,1,1,0,3
596,3,3,0,10
462,2,2,0,8
814,10,7,0,21
193,0,1,0,2
242,1,1,0,4
513,3,4,0,12
757,3,2,0,10
716,7,5,0,12
558,4,3,0,8
524,3,3,0,13
367,3,3,0,14
279,0,1,0,4
336,2,2,0,8
436,3,3,0,8
477,3,2,0,7
415,3,2,0,2
427,-1,2,0,4
494,2,2,0,7
370,3,1,0,5
305,4,3,0,13
510,6,3,0,11
631,1,2,0,7
403,0,0,0,2
190,3,2,0,9
461,2,1,0,5
526,4,4,0,17
454,1,2,0,10
327,0,2,0,4
450,1,2,0,4
612,4,5,0,15
578,3,2,0,8
647,5,5,0,19
806,3,4,0,14
615,0,1,0,0
23,0,0,0,2
687,7,3,0,11
406,0,3,0,4
508,-1,0,0,3
255,0,0,0,2
306,-1,1,0,4
556,1,1,0,7
442,0,0,0,0
879,4,4,0,10
359,1,0,0,3
613,2,2,0,9
276,0,0,0,0
623,4,4,0,12
832,6,7,0,23
307,0,0,0,3
483,-1,2,0,4
613,3,2,0,8
417,1,2,0,6
571,2,2,0,9
346,-1,0,0,2
618,3,4,0,15
599,4,3,0,8
361,1,1,0,6
371,-2,1,0,0
613,7,4,0,11
498,3,3,0,8
68,1,0,0,2
575,1,2,0,7
537,3,2,0,6
511,1,2,0,5
522,7,4,0,12
434,3,5,0,20
544,1,3,0,8
602,6,5,0,16
401,2,2,0,10
297,1,1,0,4
609,1,3,0,11
439,3,3,0,11
478,1,1,0,5
410,2,2,0,4
538,1,1,0,5
474,1,2,0,6
30,-1,0,0,0
276,3,2,0,10
448,3,2,0,6
337,-1,0,0,0
310,1,1,0,5
639,0,1,0,5
457,4,2,0,7
405,2,1,0,4
336,1,2,0,6
360,1,2,0,10
294,0,2,0,9
303,2,1,0,6
728,10,5,0,15
727,3,2,0,10
454,0,1,0,7
711,3,5,0,12
213,0,0,0,2
640,1,3,0,9
637,6,4,0,13
532,4,4,0,8
126,-1,0,0,0
698,2,4,0,13
